"x","y",""
-88.37,18.19,5.04
-88.34,18.19,79.47
-88.31,18.19,109.89
-88.28,18.19,32.85
-88.25,18.19,24.75
-88.22,18.19,165.87
-88.19,18.19,112.14
-88.16,18.19,6.12
-88.13,18.19,404.28
-88.1,18.19,135.81
-88.07,18.19,NA
-88.04,18.19,NA
-88.01,18.19,NA
-87.98,18.19,NA
-87.95,18.19,NA
-87.92,18.19,NA
-87.89,18.19,NA
-87.86,18.19,11.34
-87.83,18.19,NA
-87.8,18.19,NA
-87.77,18.19,NA
-87.74,18.19,NA
-87.71,18.19,NA
-87.68,18.19,NA
-87.65,18.19,NA
-87.62,18.19,NA
-87.59,18.19,NA
-87.56,18.19,NA
-87.53,18.19,NA
-87.5,18.19,NA
-87.47,18.19,NA
-87.44,18.19,NA
-87.41,18.19,NA
-88.97,18.16,NA
-88.94,18.16,NA
-88.91,18.16,NA
-88.88,18.16,NA
-88.85,18.16,NA
-88.82,18.16,NA
-88.79,18.16,NA
-88.76,18.16,NA
-88.73,18.16,NA
-88.7,18.16,NA
-88.67,18.16,NA
-88.64,18.16,NA
-88.61,18.16,NA
-88.58,18.16,NA
-88.55,18.16,NA
-88.52,18.16,NA
-88.49,18.16,NA
-88.46,18.16,NA
-88.43,18.16,24.57
-88.4,18.16,25.11
-88.37,18.16,75.33
-88.34,18.16,35.82
-88.31,18.16,71.19
-88.28,18.16,16.02
-88.25,18.16,52.02
-88.22,18.16,345.06
-88.19,18.16,395.37
-88.16,18.16,2.25
-88.13,18.16,338.67
-88.1,18.16,52.2
-88.07,18.16,NA
-88.04,18.16,NA
-88.01,18.16,NA
-87.98,18.16,NA
-87.95,18.16,NA
-87.92,18.16,NA
-87.89,18.16,63.9
-87.86,18.16,97.56
-87.83,18.16,NA
-87.8,18.16,NA
-87.77,18.16,NA
-87.74,18.16,NA
-87.71,18.16,NA
-87.68,18.16,NA
-87.65,18.16,NA
-87.62,18.16,NA
-87.59,18.16,NA
-87.56,18.16,NA
-87.53,18.16,NA
